project,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba
data_type,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05
sample_event,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022
stream_name,Oregon Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Little Deer Creek,Squirrel Creek,Deer Creek,Bear River,Bear River,Steephollow Creek,Dry Creek,Oregon Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Little Deer Creek,Squirrel Creek,Deer Creek,Bear River,Bear River,Steephollow Creek,Dry Creek
site_name,OC,RC,DC 1,DC 2,DC 4,DC 6,DC 8,DC 10,DC 11,DC 15,DC 16,BR 1,BR 2,BR 3,BR 12,OC,RC,DC 1,DC 2,DC 4,DC 6,DC 8,DC 10,DC 11,DC 15,DC 16,BR 1,BR 2,BR 3,BR 12
sample_date,7/20/2022,6/27/2022,6/24/2022,6/16/2022,7/19/2022,6/30/2022,7/5/2022,6/23/2022,5/31/2022,6/15/2022,7/6/2022,6/21/2022,7/27/2022,7/25/2022,8/3/2022,7/20/2022,6/27/2022,6/29/2022,6/16/2022,7/19/2022,6/30/2022,7/5/2022,6/23/2022,5/31/2022,6/15/2022,7/6/2022,6/21/2022,7/27/2022,7/25/2022,8/3/2022
pct_transition,12.66666667,11,0,16,6.666666667,23.33333333,4,19.33333333,7.333333333,25.33333333,3.333333333,9.333333333,28,4,15.33333333,19.79166667,12.5,0,25,NA,32.29166667,6.25,23.95833333,8.333333333,18.75,5.208333333,11.45833333,39.58333333,-50,0
mean_change_bearing,11.3,31.7,14.1,13.8,11.9,9.3,12.4,13.9,10.8,30.6,7,8.6,5.6,20,4,20.5,86.3,13.3,4.3,15,2.5,8.5,11.8,11.5,26.8,16.5,20,11,80.5,5.5
sinuosity,1,1.3,1.1,1,1.1,1,1,1.1,1.1,1.9,1,1.1,1.1,1.2,1,1,1.5,1,1,1,1,1,1.1,1,1.4,1,1.1,1,1.1,1
avg_depth,23.56,10.47,36.2,33.395,42.45,28.05,19.8,30.87,17.37,22.44,29.17,20.12,17.81,18.69,37.62,29.12,11.88,47.08,32.28,39.08,26.6,16.84,25.48,20.72,27.64,40.76,21.8,18.08,12.08,35
avg_velocity,14.6,3.9,48.1,24.3,35.8,13.3,6.9,8,12.4,NA,3.5,26.8,40.9,18.4,18.5,0.052,0.024,0.372,0.208,0.364,0.136,0.1,0.088,2.888,0.352,0,0.324,0.416,0.316,0.152
zero_velocity_freq,0.4,0.81,0.06,0.17,0.09,0.35,0.56,0.53,0.43,NA,0.85,0.13,0.08,0.37,0.44,0.6,0.84,0.12,0.16,0.08,0.4,0.32,0.32,0.48,0.4,1,0.04,0.12,0.2,0.48
max_depths,80,23,84,80,95,95,57,85,83,98,105,65,70,76,120,80,23,84,55,80,58,40,59,83,98,104,65,38,22,82
avg_Q(cm3/s),144821.3,5845,1791727,963196,1267029,110892,45120,98255.6,58097.928,NA,4308.5,393988,1742314,164443,142167.5,751.7166667,19.13333333,17075.36667,8283.566667,3690.79,890.7666667,427.6666667,931.7333333,10119.66667,5155.24,0,3228.75,25639.03333,1715.933333,1153.2
avg_Q(m3/s),0.1448,0.0058,1.7917,0.9632,1.267,0.1109,0.0451,0.0983,0.0581,NA,0.0043,0.394,1.7423,0.1644,0.1422,0.0008,0,0.0171,0.0083,0.0037,0.0009,0.0004,0.0009,0.0101,0.0052,0,0.0032,0.0256,0.0017,0.0012
avg_Q(cfs),5.114316418,0.2064142462,63.27424774,34.01494889,44.74471102,3.916114386,1.59339791,3.46986409,2.051709155,NA,0.1521532557,13.9135562,61.52924395,5.807250279,5.020598347,0.02654662602,0.0006756873527,0.603010939,0.2925314233,0.1303390309,0.03145713088,0.0151029072,0.03290385519,0.3573726888,0.1820555994,0,0.1140222408,0.9054340013,0.06059761941,0.04072487744
std_dev_Q(m3/s),0.085,0.0069,0.6287,0.2613,0.8464,0.0766,0.0399,0.0902,0.031,NA,0.008,0.104,2.4309,0.0859,0.1451,0.0007,0,0.0119,0.0059,0.0045,0.0008,0.0003,0.0006,0.0205,0.0042,0,0.0017,0.0394,0.0012,0.0013
